Turn	Rank_First	Rank_Second	Rank_Third
Ses05F_script03_1_M030	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_script02_2_F015	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro06_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro07_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_M011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro05_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_M053	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro06_F013	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05M_script02_2_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_2_M033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_3_F019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_1_F017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro01_M001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro01_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_M025	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro08_F014	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro05_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08b_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_3_F025	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro05_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_3_F030	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script02_2_M033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro01_F027	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro02_F020	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01M_impro06_M026	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro04_M032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_2_F043	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_2_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_3_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_2_M027	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script03_2_F026	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_impro02_M032	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script03_2_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_F036	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_1_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_1_M031	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script03_1_F006	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_impro04_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro05_M048	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script01_1_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_M032	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro01_F022	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script01_2_F012	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01F_impro04_M030	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro08b_M013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_impro04_F007	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script03_2_M045	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_1_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_2_M012	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_script02_2_F020	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_script01_3_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_1_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_2_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_2_M002	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_script01_2_F009	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_script02_2_F038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_3_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro04_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_1_M000	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro01_F020	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script01_3_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_2_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08a_M004	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script03_2_M016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_3_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_F041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro05_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_2_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_1_M016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_1_M033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_2_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_1_M030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_M010	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_impro04_F025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro08_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1_M003	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_impro02_M020	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script03_1_F020	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02F_script01_1_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_2_M032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro02_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro06_F023	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro08_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro07_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_1_M011	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03M_impro05a_M017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro08_F005	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05M_impro01_F013	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro01_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_M043	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_2_F000	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script01_1_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro08_M015	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_impro04_M022	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script01_1_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_F024	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_script02_2_F015	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_impro04_F030	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro01_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_M022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_2_F035	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_impro08_F029	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script01_1_F031	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_impro03_M018	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_impro08a_M024	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_impro06_F018	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script03_2_F019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro05_M012	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro03_M019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro02_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_1_F015	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script03_2_F020	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_script03_1_M033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro01_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_2_F037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro06_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro05_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_1_M041	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script01_3_M030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro07_F045	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_script03_2_M042	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro07_F039	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script01_3_F025	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_script01_3_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_F034	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_script02_2_F038	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro03_F029	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_impro05_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_F013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro07_F032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_3_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro02_M000	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_script02_2_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_2_M006	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_script03_1_F002	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script01_3_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro04_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_1_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_1_F027	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script02_2_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro05_F013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script02_1_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_3_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_3_M035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro04_M007	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_script01_1_F029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro05a_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_M046	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03M_script02_2_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_1_M031	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script02_2_F011	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro04_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro01_M019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro04_F004	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02M_impro08_F014	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro03_F001	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_impro08_M005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script02_2_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_2_M026	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_script02_1_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_2_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro05_M005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script01_3_M019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro05_M022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_MXX0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_3_M009	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script02_1_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro03_M000	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01M_script03_2_F035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script02_2_F031	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_script03_1_F025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_3_F012	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script02_2_F023	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script01_1_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_3_F012	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_script03_2_M037	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro06_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro07_F029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro02_M024	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_script03_1_M033	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_F017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script01_2_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_1_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_2_M010	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script01_1b_F028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F016	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script02_2_M032	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02M_impro01_M016	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro04_F036	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro08_M022	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro07_M017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro08_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_2_F014	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_script03_2_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_1_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro08_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_MXX0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_impro07_M023	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_script01_2_F000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro05_M011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_2_F033	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_impro07_F001	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_impro04_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro07_M017	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_impro07_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_1_M015	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05F_impro04_M013	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01F_script02_1_F014	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_impro07_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_1_F026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro07_F060	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro07_M011	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05M_impro08_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_M036	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro03_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_2_F040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro06_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_1_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08a_F024	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro01_M016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_1_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro05_F001	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_impro05a_M024	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_script03_1_F027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_3_M023	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script02_1_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_2_F037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro05_F028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_2_M032	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05M_script01_3_M006	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_impro07_F005	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_impro03_F041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_1_M027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro07_M035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro04_M000	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro07_F002	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_impro08_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_M035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_2_F002	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro03_F031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_1_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_1_M032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_1_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro07_F037	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_impro03_M026	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro03_F003	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_impro04_F022	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro01_F002	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script01_1_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_F024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro07_M032	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_script01_2_M008	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03M_impro05a_M006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script03_2_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_3_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro05_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_1_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_2_M028	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro03_M028	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script01_1_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro01_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_F011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro02_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro01_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_2_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro03_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro03_F008	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_script01_1_M049	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_2_F039	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_1_M045	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_script03_2_F004	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses02F_script03_2_F009	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro01_F000	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_script01_2_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro05_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_3_M004	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script01_2_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1_F004	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro08_M029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_2_F031	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_impro01_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script03_2_M040	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro05_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro07_F028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_F041	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro01_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_2_F029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro07_F039	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses02M_impro02_F005	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02M_impro06_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro03_F023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro05_F030	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03M_impro07_F017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F001	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro03_M031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro02_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_2_F005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script01_2_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_1_F001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro02_F010	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro06_F028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro02_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro04_M000	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script02_2_F022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_2_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro07_M048	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_2_M004	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03M_impro05a_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_1_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_F022	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro07_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
