Dia	Utt	Rank_First	Rank_Second	Rank_Third
367	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
368	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
368	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
368	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
368	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
370	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
370	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
370	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
370	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
370	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
371	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
371	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
371	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
372	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
372	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
374	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
374	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
374	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
374	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
374	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
374	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
379	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
379	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
379	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
381	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
381	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
381	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
381	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
382	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
382	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
382	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
382	5	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
382	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
382	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
383	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
383	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
383	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
383	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
383	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
383	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
383	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
383	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
384	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
384	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
384	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
384	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
384	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
385	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
385	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
385	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
385	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
385	11	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
385	12	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
388	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
388	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
388	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
388	6	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
391	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
391	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
391	7	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
391	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
392	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
392	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
392	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
392	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
392	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
392	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
392	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
392	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
392	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
392	11	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
392	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
392	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
394	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
394	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
394	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
394	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
394	4	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
394	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
394	6	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
394	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
394	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
395	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
395	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
395	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
395	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
395	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
395	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
395	6	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
395	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
395	8	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
395	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
396	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
396	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
396	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
396	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
396	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
396	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
396	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
396	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
396	9	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
396	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
396	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
396	12	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
396	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
396	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
397	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
397	1	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
397	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
397	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
397	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
397	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
398	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
398	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
398	2	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
398	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
398	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
398	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
398	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
400	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
400	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
400	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
400	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
400	8	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
402	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
402	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
402	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
402	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
402	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
402	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
403	0	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
403	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
403	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
403	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
403	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
403	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
405	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
405	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
405	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
405	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
405	6	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
405	11	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
405	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
405	13	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
405	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
405	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
405	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
405	18	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
405	19	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
407	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
407	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
407	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
407	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
407	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
408	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
408	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
409	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	7	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
409	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	9	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
409	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	12	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
409	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
409	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
410	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
410	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
410	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
410	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
410	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
411	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
411	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
411	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
411	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
411	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
412	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
412	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
412	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
412	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
412	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
412	8	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
412	11	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
413	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
413	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
413	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
413	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
413	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
413	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
413	10	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
414	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
414	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
414	2	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
414	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
414	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
414	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
414	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
415	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
415	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
415	6	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
415	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
415	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
415	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
415	10	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
415	11	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
415	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
415	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
415	16	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
415	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
415	18	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
416	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
416	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
416	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
416	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
416	5	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
422	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
422	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
422	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
422	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
422	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
424	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
424	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
424	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
424	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
425	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
425	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
425	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
425	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
425	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
425	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
425	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
426	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
426	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
430	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
430	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
430	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
430	8	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
430	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
431	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
431	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
431	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
431	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
431	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
431	6	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
431	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
434	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
434	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
434	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	12	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
434	13	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
434	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	17	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
434	18	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
434	19	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
434	20	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
436	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
436	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
436	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
436	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
436	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
436	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
436	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
437	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
437	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
437	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
437	9	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
437	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
437	11	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
438	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
438	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
438	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
438	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
438	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
438	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
438	6	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
438	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
439	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
439	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
439	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
439	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
439	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
439	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
439	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
439	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
439	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
439	9	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
439	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
439	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
442	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
442	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
442	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
442	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
442	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
442	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
443	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
443	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
443	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
443	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
443	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
443	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
443	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
443	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
446	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	11	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
446	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	15	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
446	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	20	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	21	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
446	22	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
446	23	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
446	24	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
448	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
448	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
448	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
448	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
449	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
449	3	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
449	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
449	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
449	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
449	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
449	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
449	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
450	1	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
450	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
450	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
450	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
450	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
452	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
452	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
452	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
452	3	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
452	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
452	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
455	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
455	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
455	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	12	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
455	13	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
455	14	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
455	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	19	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
455	21	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
455	22	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
457	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
457	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
457	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
458	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
458	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
458	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
458	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
458	9	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
458	12	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
463	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
463	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
463	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
463	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
463	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
463	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
463	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
463	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
463	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
464	2	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
464	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
464	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
464	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
464	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
464	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
468	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
468	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
468	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
468	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
468	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
468	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
