TURN	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro02_M010	The man and woman are both sitting in chairs, facing each other. They are engaged in a conversation, with the woman holding a microphone and speaking to the man. The man appears to be listening attentively and occasionally nods his head.	Both the man and woman seem to be in a relaxed state, with no visible signs of tension or discomfort. They maintain a neutral facial expression throughout the conversation.	The woman is speaking into the microphone, addressing the man directly. The man listens and occasionally responds, maintaining a respectful and engaged demeanor.
Ses03M_impro03_F009	The man is sitting in the black chair, wearing a red shirt and a black hat. He is gesturing with his hands as he speaks, occasionally leaning forward to emphasize his points. The woman is sitting in a wooden chair, wearing a pink shirt and a black belt. She is listening attentively, nodding her head and occasionally smiling.	Both the man and the woman appear calm and relaxed throughout the conversation. They maintain eye contact and occasionally exchange smiles.	The man and the woman seem to be engaged in a friendly conversation, possibly discussing a shared interest or experience. They appear comfortable with each other and are actively participating in the discussion.
Ses05M_script01_3_F004	Both individuals are engaged in a conversation, with one person speaking while the other listens attentively. The speaker occasionally gestures with their hands to emphasize their points, while the listener maintains a composed posture.	The speaker seems to be expressing a range of emotions, from excitement to frustration, while the listener maintains a neutral expression throughout the conversation.	The two individuals appear to be engaged in a one-on-one conversation, with no visible signs of interaction with others in the room.
Ses03F_script01_3_M035	Throughout the video, the speakers maintain a seated position. They occasionally gesture with their hands, but their movements are generally subtle. Both individuals appear to be actively engaged in the conversation, with the woman speaking at one point.	The speakers' facial expressions are mostly neutral, suggesting a calm and composed demeanor. However, at certain points, the woman's facial expression changes, indicating a shift in her emotions or the direction of the conversation.	The video does not show any other individuals in the scene, so there is no interaction with others to observe.
Ses04M_impro06_F009	The speakers are engaged in a conversation, with both of them taking turns to speak. They appear to be relaxed and comfortable, with no visible signs of tension or discomfort.	Both speakers maintain a neutral expression throughout the conversation. Their tone of voice is calm and measured, suggesting a serious and focused discussion.	The speakers are the only individuals present in the room. They appear to be fully engaged in their conversation, with no visible distractions or interruptions.
Ses01F_script02_1_F009	The woman is sitting in a chair, smiling and nodding her head in agreement. The man is standing in front of her, occasionally gesturing with his hands as he speaks.	Both the woman and the man appear to be in good spirits, with the woman smiling and the man occasionally laughing as he speaks. Their facial expressions and tone of voice suggest a friendly and positive conversation.	The woman and the man seem to be engaged in a one-on-one conversation, with no other individuals visible in the frame. Their body language and eye contact suggest a comfortable and open dialogue.
Ses01M_impro07_M006	The speakers are sitting in the black chair, facing each other. They are engaged in a conversation, and occasionally gesture with their hands to emphasize their points.	Both speakers appear to be relaxed and comfortable. They smile occasionally and maintain eye contact throughout the conversation.	The speakers are the only individuals in the scene, and they seem to be having a friendly conversation. There is no visible tension or conflict between them.
Ses05M_script03_2_F027	The man is sitting in a chair and talking to the woman. He occasionally gestures with his hands to emphasize his points. The woman is sitting on a couch and listening attentively. She occasionally nods her head in agreement.	Both the man and the woman appear calm and composed throughout the conversation. They maintain a neutral facial expression, and their tone of voice is measured and controlled.	The man and the woman seem to have a friendly and respectful relationship. They engage in a conversation that is both polite and engaging.
Ses01M_script01_3_F030	The man is sitting in a chair with his arms crossed, while the woman is standing with her hands on her hips. Both characters are facing each other and appear to be engaged in a conversation.	The man is smiling and appears to be relaxed, while the woman has a serious expression on her face. Her tone of voice is firm and assertive, suggesting that she is making a point or expressing a strong opinion.	The man and woman seem to be having a heated discussion, but there is no visible tension or aggression between them. They are both actively participating in the conversation, and their body language suggests that they are trying to persuade each other.
Ses02F_script03_2_M039	The woman is sitting still, while the man is holding a piece of paper and occasionally gesturing with his hands. At one point, he puts the paper down on a nearby table.	The woman appears calm and composed throughout the video, while the man's facial expressions are difficult to discern. His tone of voice is neutral and professional.	There is no visible interaction between the speakers and other individuals in the scene. They seem to be engaged in a one-on-one conversation.
Ses01F_script02_2_M023	The woman is seen sitting in the chair, while the man is standing next to her. They are engaged in a conversation, with the man occasionally gesturing with his hands.	Both the woman and the man appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man are the only two individuals in the scene. They appear to be engaged in a conversation, but there are no visible signs of their relationship or interaction.
Ses01M_impro01_F030	The man is sitting in a chair with his hands resting on his lap. He occasionally gestures with his hands as he speaks, but his movements are generally subtle. The woman is sitting on a couch, facing the man. She occasionally leans forward or back as she listens or responds to his comments.	Both the man and the woman appear calm and composed throughout the video. Their facial expressions are generally neutral, with occasional slight smiles or frowns.	The man and the woman seem to be engaged in a friendly conversation, with occasional moments of tension or disagreement. They maintain eye contact throughout the video and appear to be actively listening to each other.
Ses02M_impro04_M004	The man is seen wearing a green shirt and a headset, while the woman is wearing a black tank top. Both are seated in chairs and facing each other. The man is occasionally gesturing with his hands, while the woman remains relatively still.	The man appears to be engaged in the conversation, occasionally smiling and nodding his head. The woman maintains a neutral expression throughout the video.	The speakers seem to be having a one-on-one conversation, with no other individuals visible in the frame. Their body language suggests a level of familiarity and comfort with each other.
Ses04F_impro04_M012	The woman is seen gesturing with her hands, occasionally leaning forward or back. The man is mostly stationary, sitting upright in the chair. Both speakers maintain eye contact with the camera throughout the video.	The woman appears to be engaged in the conversation, with a range of facial expressions that suggest she is expressing her thoughts and opinions. The man, on the other hand, maintains a more neutral expression, with occasional slight smiles or frowns.	The speakers seem to be having a one-on-one conversation, with no other individuals visible in the frame. Their body language and eye contact suggest a level of intimacy and focus on the discussion.
Ses05F_script02_2_M015	The woman is sitting in a chair with her arms crossed, while the man is standing with his hands in his pockets. Both characters maintain a relatively static posture throughout the video.	The woman appears to be angry and upset, as indicated by her furrowed brows and tight facial expression. The man, on the other hand, maintains a neutral expression, showing little to no emotion.	The woman and the man do not interact with each other directly. They seem to be addressing someone or something off-camera.
Ses05M_script02_2_M000	The man is seen gesturing with his hands, while the woman is mostly stationary. At one point, the man leans forward, and the woman leans back in her chair.	Both the man and the woman appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The man and the woman seem to be engaged in a conversation, but there are no visible signs of their relationship or the nature of their interaction.
Ses01M_script02_2_M040	The man is wearing a headset and appears to be engaged in a conversation or activity. He is sitting upright and occasionally nods his head. The woman is sitting across from him, holding a clipboard and occasionally taking notes. Both speakers maintain eye contact throughout the conversation.	Both speakers maintain a neutral expression throughout the conversation, with occasional slight smiles. Their tone of voice is calm and measured, suggesting a serious and focused discussion.	The two speakers appear to be engaged in a professional or academic discussion, with the woman possibly acting as a moderator or evaluator. There is no visible tension or hostility between them, and they seem to be communicating effectively.
Ses03M_impro03_M038	The man is sitting in a chair with his hands in his lap, while the woman is sitting in a black chair and speaking into the microphone. Both characters maintain a seated position throughout the video.	The woman appears to be engaged in the conversation, nodding her head and making eye contact with the man. The man maintains a neutral expression throughout the video.	The two characters are the only individuals in the scene, and their interaction is primarily verbal. There is no visible tension or familiarity between them.
Ses05M_script01_3_M035	The speakers are engaged in a conversation, with one person speaking and the other listening attentively. Both individuals maintain a seated position throughout the video.	The speakers display a range of emotions, including seriousness, concern, and curiosity. Their facial expressions and tone of voice suggest that they are discussing a topic of importance.	The speakers appear to be in a one-on-one conversation, with no other individuals visible in the scene. Their body language and eye contact indicate a level of engagement and attentiveness.
Ses03M_impro07_M004	The speakers are sitting in the black chair, facing each other. They are engaged in a conversation, with the woman speaking more frequently than the man. Both speakers appear relaxed and comfortable.	The speakers display a range of emotions throughout the video. They smile and laugh at certain points, and their facial expressions convey a sense of enjoyment and camaraderie.	The speakers seem to be having a friendly conversation, with no visible signs of tension or disagreement. They appear to be comfortable in each other's presence and are actively engaged in the discussion.
Ses05M_impro01_F014	The man is seen gesturing with his hands, while the woman is holding a pen and taking notes. At one point, the man puts his hands on the table, and the woman leans forward to take a sip of water.	Both speakers appear calm and focused. The man maintains a neutral expression, while the woman occasionally nods her head in agreement.	The speakers seem to be engaged in a serious conversation, possibly discussing work or academic matters. They exchange glances and occasionally look at the papers on the table.
Ses03F_impro07_M026	The woman is sitting in the chair with her hands in her lap, while the man is standing with his hands behind his back. At one point, the woman leans forward and puts her hands on the table. The man remains standing throughout the video.	The woman appears calm and composed, while the man is more reserved and serious. Both speakers maintain a professional demeanor throughout the video.	The speakers do not interact with each other directly, but they appear to be engaged in a conversation. There is no visible tension or familiarity between them.
Ses04M_script01_3_F024	The woman is sitting at the desk, speaking into the microphone. She occasionally gestures with her hands to emphasize her points. The man is sitting in a chair, listening attentively and occasionally nodding his head.	The woman appears to be engaged and passionate about the topic she is discussing. She maintains a professional demeanor throughout the conversation. The man listens intently, occasionally nodding his head in agreement.	The woman and the man seem to have a professional relationship, as they engage in a focused and productive conversation. There is no visible tension or hostility between them.
Ses02F_script03_1_F012	The woman is sitting in a chair, while the man is standing in front of her. Both are facing each other and appear to be engaged in a conversation. The woman occasionally nods her head and gestures with her hands, while the man remains relatively still.	The woman's facial expressions are mostly neutral, but she occasionally smiles and seems to be listening attentively to the man. The man's facial expressions are also mostly neutral, but he occasionally raises his eyebrows and seems to be explaining something to the woman.	The woman and the man appear to be having a one-on-one conversation, with no other individuals visible in the scene. Their interaction seems friendly and relaxed, with no visible signs of tension or conflict.
Ses04F_script03_1_F001	The woman is sitting in a chair with her arms crossed, while the man is sitting at a desk with a piece of paper in front of him. Both are facing each other and appear to be engaged in a conversation.	The woman's facial expression is neutral, while the man's expression is serious. Both speakers maintain a composed demeanor throughout the conversation.	There is no interaction with others in the scene. The focus is solely on the conversation between the woman and the man.
Ses05M_script02_1_F020	The man is seen gesturing with his hands, while the woman is looking down and occasionally nodding her head. Both characters are sitting at the table, and there are no significant movements or actions throughout the video.	The man appears to be smiling and relaxed, while the woman maintains a neutral expression. There are no visible signs of strong emotions or reactions from either character.	The man and woman seem to be engaged in a conversation, but there are no visible signs of conflict or tension between them. They appear to be comfortable in each other's presence and are communicating in a friendly manner.
Ses05M_script02_2_M015	The speakers are engaged in a conversation, with one person speaking and the other listening attentively. Both individuals maintain a relaxed posture throughout the video.	The speakers display a range of emotions, including happiness, surprise, and concern. Their facial expressions and tone of voice convey their feelings and reactions to the conversation.	The speakers appear to be having a friendly conversation, with no visible signs of tension or conflict. They maintain eye contact and occasionally gesture to emphasize their points.
Ses02F_script03_2_M030	The woman is sitting in the black chair, while the man is standing in front of her. Both are holding papers and occasionally flipping through them. The woman is nodding her head and occasionally smiling, while the man is speaking in a calm and composed tone.	The woman appears to be relaxed and attentive, while the man seems to be conveying important information. Both speakers maintain a neutral facial expression throughout the video.	The speakers are engaged in a one-on-one conversation, with no other individuals present in the scene. Their interaction appears to be professional and focused on the exchange of information.
Ses03M_impro07_M007	The man is sitting in a wheelchair, while the woman is sitting in a chair. Both are facing each other and engaged in a conversation. The man is seen smiling and nodding his head, while the woman is speaking into the microphone.	The man appears to be happy and relaxed, while the woman is focused and attentive. Both speakers maintain a calm demeanor throughout the video.	The man and woman seem to be having a friendly conversation, with no visible signs of tension or conflict. The woman is addressing the man, while the man is listening and occasionally nodding his head.
Ses02F_script01_3_F012	The woman is seen sitting in one of the chairs, while the man is standing behind the desk. Both are engaged in a conversation, with the woman occasionally gesturing with her hands. The man is holding a piece of paper, which he appears to be reading from.	The woman's facial expressions are mostly neutral, but she occasionally smiles and nods in agreement with the man's statements. The man, on the other hand, appears more serious and focused on the conversation, with a stern expression on his face.	The interaction between the two speakers seems professional and respectful. They maintain eye contact throughout the conversation and appear to be actively engaged in the discussion.
Ses01M_script03_2_M023	The man is seen wearing a headset and speaking to the camera. He occasionally gestures with his hands, but his movements are generally subtle. The woman is seated in a chair and appears to be listening intently to the man's words. She occasionally nods her head in agreement.	Both the man and the woman maintain a calm and composed demeanor throughout the video. Their facial expressions are generally neutral, with occasional slight smiles or frowns.	The man and woman appear to be engaged in a conversation, with the man speaking and the woman listening. There are no visible signs of tension or disagreement between them.
Ses01F_impro03_F005	The man and woman are sitting opposite each other, with the woman occasionally gesturing with her hands. The man is holding a cup of coffee and occasionally takes sips from it.	Both the man and woman appear to be relaxed and engaged in a friendly conversation. They smile occasionally and maintain eye contact throughout the video.	There is no interaction with others in the scene. The focus is solely on the conversation between the man and woman.
Ses01M_script02_2_M024	The man is wearing a headset and appears to be gesturing with his hands, while the woman is sitting in the chair and listening attentively. At one point, the man leans forward and speaks directly to the woman.	The man's facial expressions are mostly neutral, but he occasionally smiles. The woman appears to be focused on the conversation and does not display any strong emotions.	The two individuals seem to be engaged in a one-on-one conversation, with no other people visible in the scene. The man's gestures and the woman's attentive posture suggest a serious and focused discussion.
Ses05M_script02_2_FXX0	The man wearing the hat is seen gesturing with his hands while speaking, while the other man is sitting still and listening attentively. At one point, the man sitting down leans back in his chair and looks thoughtful.	Both men appear to be engaged in the conversation, and their facial expressions suggest a serious and focused discussion. The man wearing the hat maintains a steady gaze and occasionally smiles, while the other man seems more reserved and contemplative.	The two men are the only individuals present in the scene, and their interaction is characterized by a sense of mutual respect and attentiveness. There is no visible tension or conflict between them.
Ses02M_script02_2_F016	The man in the green shirt is seen gesturing with his hands while speaking to the camera. The man in the black shirt is holding a microphone and appears to be listening attentively to the speaker.	Both men maintain a serious expression throughout the video. Their facial expressions do not change significantly, and their tone of voice remains consistent.	The two men seem to be engaged in a conversation, with the man in the green shirt doing most of the talking. There is no visible interaction between them, and they do not appear to be physically close.
Ses05M_impro05_M013	The man is sitting at the table with his hands open, gesturing with his arms as he speaks. The woman is sitting in the black chair, listening attentively and occasionally nodding her head.	The man appears to be relaxed and confident, with a slight smile on his face. The woman seems attentive and engaged, with a neutral expression.	The man and woman seem to be having a friendly conversation, with no visible signs of tension or disagreement.
Ses05F_impro02_F021	The man and woman are sitting opposite each other. The woman is wearing a hat and appears to be listening intently to the man. The man is speaking and gesturing with his hands to emphasize his points.	The woman's facial expression remains neutral throughout the conversation, while the man's expression changes from serious to smiling as he seems to be explaining something important.	There is no interaction with others in the scene. The focus is solely on the conversation between the man and woman.
Ses01F_impro07_M002	The woman is sitting in a chair and clapping her hands. The man is also clapping his hands. They both seem to be engaged in a conversation.	Both the woman and the man are smiling and appear to be happy. Their facial expressions are relaxed and friendly.	The woman and the man are facing each other and seem to be having a friendly conversation. They are both actively participating in the discussion.
Ses03M_script02_2_F045	The man is seen speaking to the camera, while the woman is sitting in a chair and speaking into a microphone. Both speakers are engaged in a conversation, with the woman occasionally looking down at a piece of paper.	The man appears to be relaxed and confident, while the woman seems focused and attentive. Both speakers maintain a neutral facial expression throughout the video.	The speakers do not interact with anyone else in the scene. They are both focused on their conversation and maintain a professional distance from each other.
Ses02F_impro07_F003	The woman is sitting in one of the chairs, leaning forward with her hands on her knees. She occasionally gestures with her hands as she speaks. The man is sitting in the other chair, listening attentively and occasionally nodding his head.	The woman appears to be confident and engaged in the conversation, with a slight smile on her face. The man seems to be attentive and interested in what the woman is saying.	The two speakers seem to be having a one-on-one conversation, with no other individuals present in the scene. They maintain eye contact throughout the video and appear to be actively engaged in the discussion.
Ses03F_impro03_F013	Both speakers are sitting comfortably in their chairs, facing each other. They seem to be engaged in a conversation, occasionally gesturing with their hands to emphasize their points.	Both speakers appear to be relaxed and at ease. They maintain a friendly demeanor throughout the conversation, with occasional smiles and nods.	The speakers are the only individuals in the scene, and their interaction is focused solely on their conversation. There is no indication of any other people present in the room.
Ses03F_script03_1_M002	The woman is sitting in a chair and talking into the microphone. She occasionally gestures with her hands to emphasize her points. The man is sitting on a chair with a laptop, occasionally looking up and taking notes.	Both speakers appear calm and composed throughout the video. Their facial expressions are neutral, and their tone of voice is professional and measured.	The speakers do not interact with each other directly, but they appear to be engaged in a conversation. The woman is speaking into the microphone, while the man is taking notes on his laptop.
Ses05M_script01_1b_F008	The woman is seen talking to the man, while the man is also talking. At one point, the woman leans forward and the man leans back.	The woman appears to be smiling and nodding her head, indicating that she is enjoying the conversation. The man also appears to be smiling and engaged in the conversation.	The woman and the man seem to be having a friendly conversation, as they are smiling and nodding their heads. There is no visible tension or formality in their interaction.
Ses04M_impro07_F008	The woman is seen speaking into the microphone, while the man is gesturing with his hands as he talks. Both speakers appear to be engaged in the conversation, maintaining eye contact and occasionally nodding their heads.	The woman's facial expressions are mostly neutral, while the man seems to be expressing a range of emotions, including excitement and concern. Both speakers appear to be focused on the conversation and are using a variety of facial expressions to convey their thoughts and feelings.	The speakers are the only individuals in the scene, and their interaction is primarily verbal. They appear to be having a serious conversation, with the woman asking questions and the man providing detailed answers.
Ses02F_script02_2_M003	The woman is sitting in one of the chairs, occasionally gesturing with her hands as she speaks. The man is sitting in the other chair, holding a piece of paper and occasionally looking down at it. Both speakers maintain a relatively static posture throughout the video.	The woman appears to be engaged and passionate about the conversation, as evidenced by her hand gestures and varying facial expressions. The man, on the other hand, maintains a more neutral expression, occasionally glancing down at the paper in his hand.	The two speakers seem to be having a focused and serious conversation, as they maintain eye contact and engage with each other directly. There are no other individuals present in the scene.
Ses02M_impro07_M012	The man is seen gesturing with his hands, while the woman is sitting and listening attentively. At one point, the man leans forward, emphasizing a point, and the woman nods in agreement.	Both speakers appear calm and composed throughout the conversation. Their facial expressions are neutral, and their tone of voice is measured and controlled.	The conversation seems to be a friendly exchange between two acquaintances. They appear comfortable with each other, and there is no visible tension or hostility.
Ses03F_impro07_F015	The woman is seen speaking into a microphone, while the man is gesturing with his hands as he talks. Both individuals appear to be actively engaged in the conversation.	The woman maintains a neutral expression throughout the video, while the man seems to be expressing a range of emotions, including excitement and frustration.	The two individuals appear to be having a friendly conversation, with occasional moments of tension. They are both focused on the discussion and are actively listening to each other.
Ses02F_script01_3_M019	The woman is sitting in a chair, while the man is sitting on a bench. Both are holding papers and occasionally flipping through them. The woman is looking at the man and occasionally nodding her head, while the man is speaking and gesturing with his hands.	The woman appears calm and attentive, while the man is animated and engaged in the conversation. He is smiling and making eye contact with the woman.	The woman and the man seem to be having a friendly conversation. They are facing each other and occasionally making eye contact. There is no visible tension or hostility between them.
Ses04M_script03_2_F041	The speakers are engaged in a conversation, with both of them taking turns to speak. They are sitting upright, with their hands either resting on the table or gesturing to emphasize their points.	Both speakers appear calm and composed throughout the conversation. They maintain a neutral facial expression, with occasional slight smiles or frowns.	The speakers are the only individuals in the scene, and they are focused solely on their conversation. There is no visible interaction with others.
Ses01M_impro04_M013	The man is sitting in a chair with his hands resting on his lap. He occasionally gestures with his hands as he speaks, but his movements are generally subtle. The woman is sitting on a couch, and she occasionally leans forward or gestures with her hands as she listens and responds to the man's comments.	Both speakers appear calm and composed throughout the video. Their facial expressions are generally neutral, but they occasionally smile or frown in response to the conversation.	The two speakers seem to be engaged in a friendly conversation, but there are no visible signs of their relationship or any other individuals in the scene.
Ses04F_impro08_M011	The man is sitting still and looking directly at the camera. The woman is also sitting still and looking at the camera, but she occasionally adjusts her position in the chair. Both speakers are speaking directly to the camera, and their body language suggests they are engaged in a serious conversation.	Both speakers appear calm and composed throughout the video. Their facial expressions are neutral, and their tone of voice is measured and controlled.	There is no interaction between the speakers and any other individuals in the scene. They are both focused solely on speaking to the camera.
Ses02M_script03_2_M028	The man is sitting in one of the chairs, wearing a green shirt and a black hat. He is speaking into the microphone and occasionally gesturing with his hands. The woman is sitting in the other chair, dressed in a black shirt and blue jeans. She is listening attentively and occasionally nodding her head.	Both the man and the woman appear to be calm and composed throughout the video. Their facial expressions are neutral, and their tone of voice is measured and professional.	The man and the woman seem to be engaged in a serious conversation. They are facing each other and maintaining eye contact. There is no visible tension or hostility between them, suggesting a collaborative or friendly relationship.
Ses02M_script02_2_M019	The man is seen gesturing with his hands, while the woman is holding a microphone and occasionally nodding her head. Both speakers appear to be engaged in a conversation, maintaining eye contact with each other.	The man's facial expressions are mostly neutral, while the woman seems to be smiling and nodding in agreement with the man's statements.	The speakers appear to be having a friendly conversation, with no visible signs of tension or disagreement. The woman's use of a microphone suggests that they might be recording a podcast or participating in an interview.
Ses04F_script03_1_M021	The woman is sitting in a chair with her arms crossed, while the man is standing with his hands in his pockets. Both characters are facing each other and appear to be engaged in a conversation.	The woman's facial expression is neutral, while the man's expression is slightly tense. Both characters maintain a serious demeanor throughout the conversation.	The woman and the man are the only characters in the scene, and their interaction is focused on their conversation. There are no visible signs of their relationship or any other individuals present in the room.
Ses01M_impro06_F013	The man is seen speaking to the camera, while the woman is shown with her hand on her face. Both characters maintain a stationary position throughout the video.	The man appears to be calm and composed, while the woman seems to be deep in thought or possibly experiencing some form of distress.	There is no visible interaction between the speakers and other individuals in the scene.
Ses02M_script01_3_M020	The woman is sitting in one of the chairs, holding a microphone and speaking into it. The man is sitting in the other chair, listening attentively and occasionally nodding his head. Both speakers maintain a relaxed posture throughout the video.	The woman appears to be engaged in the conversation, making various facial expressions as she speaks. The man maintains a neutral expression, occasionally smiling.	The speakers seem to be having a friendly conversation, occasionally making eye contact and exchanging smiles. There is no visible tension or hostility between them.
Ses04F_script02_1_F007	Both speakers are sitting upright, facing each other. They occasionally lean forward or gesture with their hands to emphasize their points. There is no physical interaction between them.	Both speakers maintain a neutral expression throughout the video. Their tone of voice is calm and measured, suggesting a serious and focused conversation.	The speakers are engaged in a one-on-one conversation, with no other individuals present in the scene. Their body language and tone of voice suggest a formal and professional interaction.
Ses05F_script01_1_F003	The man is seen holding a small object in his hand, which he occasionally raises and moves around. The woman is mostly stationary, with only minor movements of her head and upper body.	Both speakers appear calm and composed throughout the video. Their facial expressions are mostly neutral, with occasional slight smiles or frowns.	The speakers seem to be engaged in a conversation, but there are no visible signs of their relationship or interaction. They appear to be discussing something serious or important, as indicated by their focused expressions and the man's occasional gestures.
Ses03F_script01_3_F011	Throughout the video, both the man and the woman are seen talking to each other. The woman is seen gesturing with her hands, while the man is mostly seated and listening.	The woman appears to be animated and engaged in the conversation, while the man maintains a calm and composed demeanor. Both speakers seem to be focused on the discussion, and there are no visible signs of strong emotions or reactions.	The video only shows the two speakers, and there are no other individuals present in the scene.
Ses03M_impro01_M014	The speakers are engaged in a conversation, gesturing with their hands to emphasize their points. They occasionally lean forward or back, indicating a dynamic exchange.	Both speakers appear to be calm and composed, with neutral facial expressions. However, their tone of voice varies, suggesting a range of emotions beneath the surface.	The speakers are focused solely on each other, with no visible distractions or interruptions. Their body language suggests a level of familiarity and mutual respect.
Ses05M_script01_3_M021	The man is seen wearing a headband and making hand gestures while speaking. The woman listens attentively and occasionally nods her head.	The man appears to be enthusiastic and passionate about the topic he is discussing, while the woman maintains a calm and composed demeanor.	The conversation between the two individuals seems to be friendly and engaging, with both parties actively participating in the discussion.
Ses03M_script03_2_M042	The man is sitting in the black chair, while the woman is standing in front of him. Both are facing each other and engaged in a conversation. The man occasionally gestures with his hands, while the woman remains still.	The man appears calm and composed, while the woman displays a range of emotions, including surprise, concern, and frustration. Her facial expressions change throughout the video, reflecting the different stages of their conversation.	The speakers are the only two individuals in the scene, and their interaction is focused and intense. They appear to be engaged in a serious discussion, with occasional moments of tension.
Ses04F_impro03_M019	The woman is sitting in the black chair, occasionally gesturing with her hands as she speaks. The man is standing next to the microphone, holding a piece of paper in his hand. He occasionally looks down at the paper while speaking.	Both the woman and the man appear to be engaged in a serious conversation. They maintain a neutral facial expression throughout the video, with occasional slight smiles.	The woman and the man seem to be having a one-on-one conversation, with no other individuals present in the scene. They maintain eye contact and appear to be actively listening to each other.
Ses05M_impro07_F023	The man is sitting at the table, wearing a black shirt and a headband. He is gesturing with his hands as he speaks, occasionally leaning forward to emphasize his points. The woman is sitting in the black chair, listening attentively and occasionally nodding her head.	Both the man and the woman appear to be engaged in a serious conversation. The man's facial expressions are animated, and he seems to be explaining something important. The woman's expression is more reserved, but she appears to be attentive and interested in what the man is saying.	The man and the woman seem to have a professional relationship, as they are engaged in a discussion that appears to be work-related. They are both focused on the conversation and do not display any signs of tension or disagreement.
Ses03F_impro07_MXX3	The woman is sitting in a chair and talking into a microphone. She occasionally gestures with her hands, while the man is sitting in a black chair and listening attentively. He occasionally nods his head and looks at the woman.	Both speakers appear calm and composed throughout the video. The woman's facial expressions are mostly neutral, while the man's are slightly more animated, with occasional smiles and nods.	The speakers seem to be engaged in a conversation, with the woman doing most of the talking. The man listens attentively and occasionally interacts with the woman by nodding or making brief comments.
Ses04F_script02_2_F030	The woman is speaking into the microphone, occasionally gesturing with her hands. The man is holding a piece of paper, occasionally looking down at it while listening to the woman.	The woman appears to be engaged in the conversation, with a serious expression on her face. The man seems to be attentive, with a neutral expression.	The woman and man appear to be having a serious conversation, with the woman speaking and the man listening attentively. There is no visible tension or familiarity between them.
Ses01F_impro07_F004	The woman is sitting in a chair, facing the camera. She occasionally nods her head and gestures with her hands while speaking. The man is standing in front of her, occasionally leaning against the wall. He occasionally raises his hands or points at the woman while speaking.	Both the woman and the man appear calm and composed throughout the video. They maintain a neutral facial expression, and their tone of voice is measured and controlled.	The woman and the man seem to be engaged in a conversation, but there is no visible sign of their relationship or interaction. They appear to be discussing a topic of mutual interest.
Ses02F_script01_3_M029	The woman is sitting in one of the chairs, leaning forward with her hands resting on her lap. The man is sitting in the other chair, holding a piece of paper in his hand. Both speakers appear to be engaged in a conversation, occasionally gesturing with their hands.	The woman's facial expression is neutral, while the man seems to be smiling at certain points in the conversation. Their tone of voice is friendly and conversational.	The speakers appear to be having a one-on-one conversation, with no other individuals present in the scene. Their body language suggests a comfortable and familiar relationship.
Ses03F_impro07_M023	Throughout the video, the speakers are engaged in a conversation. They are sitting and facing each other, with the woman occasionally leaning forward to emphasize a point. The man is mostly sitting still, but at one point, he shifts his weight from one side to the other.	The speakers appear to be calm and composed throughout the conversation. They maintain a neutral facial expression, and their tone of voice is measured and controlled.	The speakers are the only two individuals in the scene, and they are the main focus of the video. There is no interaction with other individuals.
Ses05F_script02_1_M015	The woman is sitting in a chair with her arms crossed, while the man is standing with his hands in his pockets. Both characters maintain a relatively static posture throughout the video.	The woman's facial expression remains neutral, while the man appears slightly more engaged in the conversation, with subtle changes in his facial expression.	The two characters seem to be engaged in a serious conversation, with no visible signs of tension or familiarity between them.
Ses03F_script01_2_M002	The woman is seated in a chair, while the man is sitting on a bench. Both are engaged in a conversation, with the woman occasionally gesturing with her hands to emphasize her points. The man listens attentively, occasionally nodding his head in agreement.	The woman appears to be calm and composed, with a neutral facial expression. The man, on the other hand, displays a range of emotions, including moments of seriousness, concern, and amusement.	The speakers seem to be engaged in a friendly conversation, with no visible signs of tension or conflict. They appear to be comfortable in each other's presence and are actively listening and responding to each other's comments.
Ses04F_impro03_M017	The woman is holding a piece of paper and occasionally gesturing with her hands. The man is standing still, with his hands clasped in front of him. At one point, he leans forward to speak more directly to the woman.	The woman appears calm and composed, with a neutral facial expression. The man seems more engaged in the conversation, with occasional smiles and frowns.	The woman and the man are the only two individuals in the scene. They appear to be engaged in a serious conversation, with the man speaking and the woman listening attentively.
Ses03F_script01_1_F044	The man is seated on a chair, while the woman is standing. Both are facing each other and appear to be actively engaged in the conversation. The man occasionally gestures with his hands, while the woman remains relatively still.	The man's facial expressions are mostly neutral, but he occasionally smiles. The woman appears more animated, with visible facial expressions that convey a range of emotions, including surprise, concern, and amusement.	The conversation between the man and the woman seems to be a one-on-one interaction. There are no other individuals present in the scene.
Ses01F_impro06_M011	The woman is sitting in a chair, facing the camera. She occasionally shifts her weight or adjusts her posture, but remains seated throughout the video. The man is standing in front of the woman, occasionally gesturing with his hands as he speaks.	The woman appears calm and composed, with a neutral facial expression. The man, on the other hand, displays a range of emotions, including excitement, frustration, and amusement. His facial expressions and tone of voice change accordingly.	The man and woman seem to be engaged in a conversation, with the man speaking and the woman listening attentively. There are no visible signs of tension or conflict between them.
Ses03M_script03_2_F024	The man is wearing a red shirt and has a microphone attached to his face. He is speaking into it while the woman is holding a piece of paper and occasionally nodding her head.	The man appears to be calm and collected, while the woman seems to be listening intently. Both speakers maintain a neutral facial expression throughout the video.	The speakers are engaged in a conversation, but there is no visible interaction between them beyond the exchange of words.
