Dialogue_id	Utterance_id	Speakers Actions	Emotions and Facial Expressions	Interaction with Others
84	8	The man is sitting at his desk, gesturing with his hands as he speaks. The woman is standing in front of him, occasionally nodding her head. There is no physical interaction between the two.	The man appears to be angry and frustrated, as evidenced by his facial expressions and tone of voice. The woman seems to be listening attentively, but it is difficult to discern her emotions.	The man and woman seem to be engaged in a conversation, but it is unclear what the nature of their relationship is. There is no visible tension or familiarity between them.
85	0	The woman is standing still behind the counter, while the man is standing on the other side of the counter, facing her. He seems to be waiting for her to speak.	The woman's facial expression is neutral, and she appears to be focused on the conversation. The man's facial expression is also neutral, and he seems to be attentive and engaged in the conversation.	The woman and the man are the only two people in the scene, and they are facing each other across the counter. They appear to be having a serious conversation, but there is no visible tension or hostility between them.
85	1	The woman holding the clipboard is actively speaking and gesturing towards the other woman. The other woman is listening attentively and occasionally nodding her head. The man standing next to them is not actively participating in the conversation but appears to be observing.	Both women seem to be engaged in a friendly conversation, with smiles on their faces and relaxed body language. The man standing next to them appears to be neutral and detached from the conversation.	The woman holding the clipboard is the main speaker, and the other woman is the listener. The man standing next to them seems to be an observer rather than a participant in the conversation.
85	2	The woman behind the counter is looking at her phone while the other woman is talking to her. The woman in front of the counter is holding a tablet and occasionally gesturing towards it.	The woman behind the counter has a neutral expression on her face, while the woman in front of the counter is smiling and appears to be happy.	The two women seem to be engaged in a friendly conversation, with the woman in front of the counter asking questions and the woman behind the counter answering them. There is no visible tension or hostility between them.
85	3	The woman is standing still behind the counter, while the man is standing on the other side of the counter, talking to the woman. He occasionally gestures with his hands as he speaks.	The woman appears to be listening attentively to the man, while the man seems to be explaining something to her. Both characters maintain a neutral facial expression throughout the video.	The interaction between the two characters appears to be friendly and professional. The man seems to be explaining something to the woman, possibly about a product in the store.
85	4	The two women are seen talking and laughing together. They are standing close to each other, with one woman occasionally reaching out to touch an item on the counter. The other woman is holding a purse and occasionally adjusts her position.	Both women appear to be in good spirits, with smiles on their faces and relaxed body language. They seem to be enjoying each other's company and the conversation they are having.	The women are the only people visible in the video, and their interaction is friendly and casual. They seem to be comfortable with each other and are enjoying their time together.
85	5	The woman is standing in front of a display case, while the man is standing next to her. Both characters are engaged in a conversation, with the woman occasionally gesturing towards the display case.	The woman appears to be smiling and nodding her head, indicating a positive and friendly conversation. The man's facial expressions are not clearly visible, but he seems to be attentive and engaged in the conversation.	The video does not provide any information about the interaction between the speaker and other people in the scene.
86	0	The woman is holding the cellphone with both hands, and she seems to be showing the picture to someone off-camera. There is no movement or action in the video other than the woman holding the cellphone.	The woman in the picture is smiling, which suggests a positive emotion. The woman holding the cellphone is not displaying any specific emotions.	There is no interaction with others in the video. The woman holding the cellphone is the only visible person.
86	1	The woman is holding the phone with both hands, and she is looking at the screen. There are no other visible actions or movements in the video.	The woman's facial expression is not visible in the video, so it is impossible to determine her emotions or reactions.	There is no interaction with others in the video. The woman is solely focused on the phone screen.
88	1	The woman is taking a picture of herself using her phone. She is holding the phone in front of her face and pointing it towards herself.	The woman appears to be smiling and enjoying herself while taking the picture. Her facial expression is relaxed and happy.	There is no interaction with others in this video. The woman is alone and focused on taking her picture.
88	3	The woman is holding her phone and looking at it intently. She does not appear to be interacting with anyone else in the scene.	The woman's facial expression is neutral, indicating that she is focused on her phone. There are no visible signs of strong emotions or reactions.	The woman does not appear to be interacting with anyone else in the scene. She is solely focused on her phone.
88	4	The woman is standing in front of the shelves, gesturing with her hands as she talks. The man is also standing in front of the shelves, but he is not gesturing.	The woman appears to be calm and composed, while the man seems to be slightly annoyed or impatient. Both speakers maintain a neutral facial expression throughout the video.	There is no interaction between the speakers and other people in the scene. They seem to be talking to each other alone.
88	5	The man is standing in the store and talking to the camera. He is gesturing with his hands, occasionally pointing at specific products on the shelves. The woman is also present in the store, but she is not interacting with the man and is instead looking at her phone.	The man appears to be enthusiastic and passionate about the products he is discussing, as evidenced by his gestures and facial expressions. The woman, on the other hand, seems disinterested and distracted by her phone.	The man and woman do not interact with each other directly, as the man is focused on speaking to the camera and the woman is preoccupied with her phone.
88	6	The woman is taking a selfie with her phone, holding it up in front of her face. She then turns the phone around to show the screen to the camera.	The woman appears to be happy and smiling as she takes the selfie. Her facial expression remains consistent throughout the video.	There is no interaction with others in the video. The woman is solely focused on taking the selfie.
89	3	The man behind the counter is looking at the camera and occasionally glances at the other man. The other man is looking at the laptop and occasionally gestures towards it. Both men are standing and appear to be engaged in a conversation.	Both men are smiling and appear to be in a friendly and relaxed mood. Their facial expressions and tone of voice suggest that they are enjoying their conversation.	The two men appear to be familiar with each other, as they are engaged in a conversation. They are standing close to each other and occasionally make eye contact.
89	4	The man in the blue vest is talking to the other man, who is wearing a blue shirt. He is gesturing with his hands as he speaks. The man in the blue shirt is listening and occasionally nodding his head.	Both men appear calm and focused on the conversation. The man in the blue vest seems to be explaining something, while the man in the blue shirt is attentive and interested in what he is saying.	The two men appear to have a friendly and professional relationship. They are engaged in a conversation, and there is no visible tension or conflict between them.
89	6	The man in the blue vest is sitting still and looking at the laptop screen. There are no visible actions or movements from the other speaker.	The man in the blue vest appears to be smiling and relaxed. There are no visible emotions or facial expressions from the other speaker.	The video does not provide any information about the interaction between the speakers and other people in the scene.
89	8	The two men are engaged in a conversation, with one of them occasionally gesturing with his hands. The third person in the background is not actively participating in the conversation.	The men seem to be relaxed and engaged in a friendly conversation. Their facial expressions are mostly neutral, with occasional smiles and slight changes in expression as they talk.	The third person in the background appears to be a passerby, not directly involved in the conversation. The two men at the table seem to be comfortable with each other and are actively engaged in their discussion.
89	10	The man in the blue vest is seen gesturing with his hands, while the man in the white shirt listens attentively. At one point, the man in the white shirt looks down at something on the table between them.	Both men appear calm and composed throughout the conversation. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The two men seem to be engaged in a friendly conversation, with no visible signs of tension or conflict. They appear to be comfortable in each other's presence and are actively engaged in the discussion.
91	1	The woman is using the laptop, while the girl is holding a necklace and showing it to the woman. The girl's movements are fluid and expressive, as she tries to get the woman's attention.	The woman appears focused on the laptop, while the girl seems excited and eager to show the necklace. Both women are smiling and seem to be enjoying their conversation.	The interaction between the two women is friendly and professional. They seem to be engaged in a conversation about the necklace, with the girl trying to sell it to the woman.
91	2	The man is seen holding a cell phone and showing it to the two women. The women are looking at the phone and occasionally touching it. The man seems to be explaining something to them, and the women appear to be interested in what he is saying.	The man is smiling and seems to be enjoying the conversation. The two women are also smiling and appear to be engaged in the discussion. There are no visible signs of tension or discomfort in their facial expressions.	The man and the two women seem to be friends or acquaintances. They are sitting together and talking in a friendly and informal manner. There is no visible sign of any romantic or professional relationship between them.
91	4	The woman in the pink shirt is looking at her phone while the woman in the blue shirt is talking to her. The woman in the blue shirt is standing upright and gesturing with her hands as she speaks.	The woman in the pink shirt appears to be slightly annoyed or distracted, as she is looking at her phone while the other woman talks to her. The woman in the blue shirt seems to be trying to engage her in conversation, but the woman in pink is not fully attentive.	The two women appear to be acquaintances or colleagues, as they are standing close to each other and engaged in conversation. However, the woman in the pink shirt seems more interested in her phone than in what the woman in the blue shirt is saying.
91	5	The women are looking at the laptop screen and typing on the keyboard. They occasionally lean forward and gesture towards the screen.	Both women appear focused and engaged in their conversation. They occasionally smile and nod, indicating a positive and friendly interaction.	There is no interaction with others in the scene.
93	0	The two women are sitting at the table, facing each other. They are both using their laptops, but occasionally look up and make eye contact.	Both women appear calm and focused on their work. They do not display any strong emotions or facial expressions.	The women are engaged in a conversation, but it is not clear what they are discussing. They seem to be working together on something.
93	3	The woman holding the laptop is showing something to the other woman, who is looking at it intently. Both women are standing and facing each other.	The woman holding the laptop seems to be explaining something to the other woman, who appears to be interested and attentive. Both women have neutral facial expressions.	The two women seem to be engaged in a friendly conversation, with no visible signs of tension or hostility.
93	4	The woman in the blue shirt is gesturing with her hands as she speaks. The other woman is listening and occasionally nodding her head.	The woman in the blue shirt appears to be angry and frustrated. She is speaking in a raised voice and making emphatic gestures. The other woman seems calm and composed.	The two women are engaged in a conversation, but it is unclear what the topic of discussion is. They appear to be colleagues or acquaintances.
93	7	The women are not engaged in any significant actions or movements. They are simply standing and talking.	The video does not provide any clear indications of the women's emotions or facial expressions. They appear to be engaged in a casual conversation.	There is no interaction with others in the video. The women are only talking to each other.
93	8	The women are engaged in a conversation, with one of them speaking and the other listening attentively. They occasionally gesture with their hands to emphasize their points, but their movements are generally subtle and controlled.	The woman speaking seems to be expressing a range of emotions, from excitement to concern. Her facial expressions and tone of voice convey a sense of enthusiasm and engagement. The other woman appears to be more reserved, with a neutral expression and a calm tone of voice.	The video does not provide any information about the interaction between the speakers and other people in the scene. It is unclear whether there are other individuals present or if the focus is solely on the two women.
95	2	The women are seen holding hands and laughing together, suggesting a close relationship and a sense of camaraderie. They are also shown looking at the items on the table, indicating their interest in the products. At times, they are seen talking to each other, with one woman speaking to the others.	The women are seen smiling and laughing throughout the video, suggesting a positive and friendly atmosphere. Their facial expressions convey a sense of joy and contentment, with occasional moments of concentration or curiosity.	The women are seen interacting with each other in a friendly and supportive manner, with occasional glances towards the camera. They appear to be enjoying each other's company and engaging in light-hearted conversations.
95	3	The woman in the blue vest is gesturing with her hands while talking. The other woman is listening attentively and occasionally nodding her head. There are no physical interactions between them.	Both women appear to be calm and composed. They are not displaying any strong emotions, and their facial expressions are neutral.	The two women seem to have a professional relationship, as they are engaged in a conversation that appears to be work-related. They are addressing each other in a polite and respectful manner.
95	4	The women are sitting around the table, and they are all facing each other. They are engaged in a conversation, and they seem to be actively participating in the discussion. There are no visible signs of any physical interactions between the characters.	The women are smiling and seem to be enjoying the conversation. They appear to be relaxed and comfortable, and there are no visible signs of any negative emotions.	The women are interacting with each other in a friendly and informal manner. They seem to be comfortable with each other, and they are actively participating in the conversation. There are no visible signs of any tension or conflict between the characters.
95	5	The woman in the blue shirt is gesturing with her hands while speaking. The other woman is listening attentively and occasionally nodding her head.	Both women appear to be engaged in the conversation, with the woman in the blue shirt occasionally smiling. The other woman maintains a neutral expression throughout the video.	The video does not show any interaction with others.
95	6	The woman in the pink shirt is talking to the other women, while the man in the blue shirt is standing behind the counter. The women in the blue vests are listening attentively and occasionally nodding their heads.	The woman in the pink shirt appears to be smiling and relaxed, while the other women have neutral expressions on their faces. The man in the blue shirt seems to be attentive and engaged in the conversation.	The woman in the pink shirt is the main speaker, and the other women are listening to her. The man in the blue shirt is also listening, but he is not actively participating in the conversation.
95	7	The women are sitting and talking to each other. They are both looking at the laptop screen, and one of them is typing on the keyboard. They occasionally gesture with their hands while speaking.	Both women are smiling and seem to be enjoying their conversation. They appear relaxed and comfortable in each other's company.	The women are engaged in a friendly conversation, and there is no indication of any tension or conflict between them. They seem to be enjoying each other's company and are actively participating in the discussion.
96	1	The man in the blue vest is seen talking to a customer who is standing in front of the counter. The customer is holding a blue folder and occasionally gesturing with his hands.	Both the man in the blue vest and the customer appear calm and composed throughout the conversation. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The man in the blue vest is addressing the customer in a polite and professional manner. The customer seems to be attentive and engaged in the conversation, occasionally nodding his head.
96	3	The man in the blue vest is talking to another person, who is not visible in the frame. He is standing still and gesturing with his hands as he speaks.	The man in the blue vest appears to be angry and frustrated as he talks. His facial expressions and tone of voice convey his emotions.	The man in the blue vest is speaking to someone off-camera, but we cannot see the other person's reactions or responses.
96	4	The man in the blue vest is standing in front of the cashier. He is looking at the cashier and occasionally glances at the camera. The cashier is standing behind the counter, scanning items and occasionally looking up.	Both the man in the blue vest and the cashier appear calm and neutral throughout the video. There are no visible signs of strong emotions or reactions.	The man in the blue vest is talking to the cashier, but there is no visible interaction between them. They seem to be having a casual conversation, but there is no visible sign of their relationship or familiarity.
96	7	The man in the blue vest is standing and talking to the other man. He appears to be gesturing with his hands, possibly emphasizing a point or explaining something. The other man is listening attentively, nodding his head occasionally.	Both men seem to be engaged in a friendly conversation, with smiles on their faces and relaxed body language. There are no visible signs of tension or hostility.	The two men appear to be the only people in the scene, and there is no interaction with others.
96	8	The man in the blue vest is standing and talking to the other man. He is gesturing with his hands and occasionally looking at the other man. The other man is sitting at a table and listening attentively to the man in the blue vest. He occasionally nods his head and responds to the man's questions.	Both men appear to be calm and relaxed. They are not displaying any strong emotions, and their facial expressions are neutral.	The two men seem to have a friendly relationship. They are engaged in a conversation and appear to be enjoying each other's company.
96	11	The man in the blue vest is standing in front of the cashier. He is gesturing with his hands as he talks, occasionally leaning in closer to the cashier. The cashier is listening attentively and occasionally nodding his head.	Both the man in the blue vest and the cashier appear calm and composed throughout the conversation. There are no visible signs of strong emotions or reactions.	The man in the blue vest seems to be in a position of authority or expertise, as he is addressing the cashier in a confident and assertive manner. The cashier, on the other hand, appears to be respectful and attentive, but not actively engaged in the conversation.
99	0	The woman is initially focused on the clothes in front of her, but when the man approaches, she turns around and faces him. Both characters are standing relatively close to each other, with the man slightly behind the woman.	The woman appears to be slightly annoyed or irritated, as indicated by her facial expression. The man, on the other hand, seems to be friendly and approachable.	The interaction between the two characters is relatively brief, and they seem to be engaged in a casual conversation. There are no visible signs of tension or hostility between them.
99	1	The woman is seen holding a phone and taking a picture of herself and the man. The man is also holding a phone and appears to be looking at it. Both characters are casually browsing through the clothing items.	The woman is smiling and appears to be enjoying herself, while the man is looking at his phone with a neutral expression.	The woman and the man are interacting with each other in a friendly and casual manner. They seem to be enjoying their time together and are comfortable in each other's presence.
99	4	The woman is holding a phone and appears to be showing something to the man. She is gesturing towards the phone screen, while the man is attentively looking at it.	Both the woman and the man seem to be engaged in the conversation, with the woman displaying a slightly excited expression. The man appears to be interested and curious about what the woman is showing him.	The interaction between the two characters seems friendly and informal. They appear to be comfortable with each other and are actively exchanging information.
99	5	The man and the woman are standing close to each other, with the man occasionally gesturing with his hands. The woman is attentively listening to the man's words and occasionally nodding her head.	Both the man and the woman appear to be calm and composed throughout the conversation. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The man and the woman seem to be engaged in a friendly conversation, with no visible signs of tension or conflict. They appear to be comfortable in each other's presence and are actively engaged in the discussion.
101	0	The woman behind the counter is engaged in a conversation with another person, who is not visible in the frame. She is standing still and appears to be attentive to the conversation.	The woman's facial expression is not visible in the video, so it is difficult to determine her emotions. However, her body language suggests that she is engaged in the conversation and actively listening to the other person.	The video does not provide any information about the interaction between the woman and other people in the scene.
101	3	The woman in the blue shirt is standing upright and facing the other woman. She is gesturing with her hands as she speaks. The other woman is also standing and listening attentively. There are no physical interactions between the characters.	The woman in the blue shirt appears to be calm and composed. She is speaking in a measured tone. The other woman is attentive and appears to be interested in what the woman in the blue shirt is saying.	The video does not provide any information about the interaction between the speaker and other people in the scene.
101	6	The women are standing and talking to each other. They are facing each other and occasionally gesturing with their hands. There are no other visible actions or movements in the video.	Both women appear to be calm and relaxed. They are smiling and seem to be enjoying their conversation. Their facial expressions are consistent with a friendly and positive interaction.	The video does not provide any information about the interaction between the women and other people. It is not clear whether they are alone or if there are other people in the scene.
101	7	The woman is smiling and nodding her head while speaking. The other person is listening attentively and occasionally nodding in response.	Both the woman and the other person appear to be in a good mood, as they are smiling and nodding. The woman's facial expressions suggest that she is enjoying the conversation.	The video does not provide any information about the interaction between the speakers and other people in the scene.
101	8	The women are engaged in a conversation, and they are facing each other. One of the women is gesturing with her hands, while the other is listening attentively.	Both women appear to be relaxed and comfortable. They are smiling and seem to be enjoying each other's company.	The video does not show any other people in the scene, so there is no interaction with others.
101	12	The woman in the blue shirt is seen smiling and laughing while talking to the other woman. She then walks away, presumably to grab the form to write her up. The other woman remains in the scene, but her actions are not described in detail.	The woman in the blue shirt appears to be in a good mood, as evidenced by her smile and laughter. The other woman's emotions are not explicitly described.	The two women seem to be engaged in a friendly conversation, but the nature of their relationship is not specified. The woman in the blue shirt is the main focus, and her actions suggest that she is in a position of authority or responsibility within the store.
101	13	The woman in the blue shirt is talking to someone off-camera, gesturing with her hands to emphasize her points. She occasionally looks at the person she is speaking to, and her posture suggests that she is engaged in a friendly conversation.	The woman's facial expressions are mostly neutral, but she occasionally smiles and nods in response to the conversation. Her tone of voice is friendly and conversational, indicating a positive and relaxed interaction.	Based on the text content, it is unclear who the woman is speaking to or what the conversation is about. However, her body language and tone of voice suggest that the interaction is friendly and informal.
102	2	The man in the blue jacket and tie is talking to another person, but we cannot see the other person in the video. The man is sitting still and appears to be relaxed.	The man's facial expression is neutral, and he does not show any strong emotions. His tone of voice is calm and measured.	The video does not provide any information about the interaction between the man and other people. We cannot see any other people in the scene.
102	4	The two men are engaged in a conversation, with one man looking at the other while speaking. The other man is mostly focused on the speaker, occasionally nodding his head in agreement.	Both men appear to be calm and composed throughout the conversation. Their facial expressions are mostly neutral, with occasional slight smiles or frowns.	The two men are the only characters in the scene, and their interaction is relatively straightforward. They appear to be engaged in a serious conversation, with no visible signs of tension or hostility.
102	5	The men are sitting still, facing each other, and talking. They occasionally gesture with their hands to emphasize their points.	Both men appear to be relaxed and engaged in a friendly conversation. They smile occasionally and maintain eye contact throughout the interaction.	There is no interaction with other people in the scene. The focus is solely on the conversation between the two men.
103	0	The man is actively cleaning out the rat traps, while the woman is observing him. There is no direct interaction between the two characters.	The man appears focused on his task, while the woman seems curious and slightly amused by the situation. Both characters maintain a neutral facial expression throughout the video.	There is no direct interaction between the two characters, as the man is solely focused on cleaning out the rat traps.
103	1	The woman is seen handing her credit card to the cashier, who then scans the items and swipes the card. The cashier then hands the woman her bag.	Both the woman and the cashier appear to be in a neutral emotional state throughout the video. Their facial expressions are calm and professional.	The interaction between the woman and the cashier is brief and transactional. There is no visible sign of their relationship or any communication beyond the exchange of goods for payment.
103	4	The man is seen wiping his hands with a green towel, while the woman is holding a bottle of hand sanitizer. They both seem to be engaged in a conversation about the man's job at the restaurant.	The man appears to be relaxed and comfortable, while the woman seems to be interested in what he is saying. Both of them are smiling and maintaining eye contact throughout the conversation.	The man and woman seem to be friends or colleagues, as they are talking in a friendly and informal manner. They are both dressed casually, which suggests that they are not in a formal setting.
103	5	The woman is seen smiling and talking to the man, who is also smiling. They are standing close to each other, and the woman is holding a bag. The man is holding a bottle of water.	Both the woman and the man appear to be happy and relaxed. They are smiling and making eye contact throughout the conversation.	There is no interaction with others in this video. The focus is solely on the conversation between the woman and the man.
103	7	The man and woman are standing close to each other, with the woman holding a bottle of cleaning spray. They appear to be discussing something related to their work.	Both characters seem to be in a good mood, with the woman smiling and the man looking attentive. Their facial expressions suggest a friendly and professional interaction.	The video does not show any other people in the scene, so there is no interaction with others to describe.
104	3	The people at the table are engaged in a conversation, with some of them holding cups and plates. The woman standing next to them is also participating in the discussion, but she is not holding any objects. There are no significant actions or movements in the video.	The video does not provide clear indications of the speakers' emotions or facial expressions. They seem to be engaged in a friendly conversation, but there are no visible signs of strong emotions or reactions.	The people at the table are interacting with each other in a friendly and informal manner. They are talking and listening to each other, and there is a sense of camaraderie among them. The woman standing next to them is also participating in the conversation, but her relationship with the others is not clear from the video.
104	4	The speakers are engaged in a conversation, with one person speaking and the others listening. They are sitting comfortably and gesturing occasionally to emphasize their points.	The characters seem relaxed and at ease, with no visible signs of tension or discomfort. Their facial expressions are neutral, and their tone of voice is calm and measured.	The characters are interacting with each other in a friendly and informal manner. They are listening attentively to what the others are saying and responding in a respectful and considerate way.
104	6	The man is seen writing on a piece of paper, while the woman is looking at him and occasionally taking sips from her coffee cup. Both characters are sitting upright and appear to be engaged in a conversation.	The man's facial expression is serious and focused, while the woman's expression is more relaxed and curious. Both characters seem to be interested in the conversation and are actively participating.	The interaction between the two characters is friendly and professional. They appear to be discussing a topic of mutual interest, with the man providing information and the woman listening attentively.
104	7	The man is seen writing on a piece of paper, while the woman is engaged in a conversation with him. There are no significant actions or movements by either of the characters.	The woman appears to be angry and frustrated, as indicated by her facial expressions and tone of voice. The man, on the other hand, seems to be calm and composed.	The woman is talking to the man, while the man is writing on a piece of paper. There is no visible interaction between the two characters, and they do not appear to be communicating effectively.
104	10	The man and woman are engaged in a conversation, with the woman speaking and the man listening. The woman is seen gesturing with her hands, while the man occasionally nods his head in agreement.	Both the man and woman appear to be relaxed and engaged in a friendly conversation. They are smiling and making eye contact throughout the video.	The video does not show any interaction with others, as the focus is solely on the conversation between the man and woman.
104	11	The man and woman are sitting at the table, facing each other. The man is gesturing with his hands while speaking, and the woman is listening attentively.	The man appears to be calm and composed, while the woman is focused on the conversation. There are no visible signs of strong emotions or reactions.	The man and woman seem to be engaged in a serious conversation, possibly discussing work or personal matters. They appear to be respectful and attentive towards each other.
104	12	The two men are engaged in a conversation, and they are sitting still at the table. They occasionally gesture with their hands to emphasize their points, but there are no other significant actions or movements.	The men appear to be calm and composed throughout the conversation. They do not show any strong emotions or facial expressions.	The two men are the only people in the scene, and they are engaged in a conversation with each other. There is no interaction with other people in the scene.
104	13	The speakers are engaged in a conversation, with one person speaking and the other listening attentively. The listener occasionally nods and gestures to show understanding and engagement.	Both characters appear calm and composed, with neutral facial expressions. There are no visible signs of strong emotions or tension between them.	The characters are focused on their conversation, with no visible interaction with other people in the scene.
104	14	The women are standing and facing each other. One of them is holding a coffee cup and occasionally takes sips from it. The other woman is holding a pen and a clipboard, suggesting that she might be taking notes or checking something.	The video does not provide clear indications of the speakers' emotions. However, their facial expressions appear neutral, and their tone of voice is calm and composed.	The women seem to be engaged in a serious conversation, possibly discussing work-related matters. They are attentive to each other and appear to be actively listening to what the other person is saying.
104	16	The woman standing next to the table is seen leaning on it with her arms crossed. The two people sitting at the table are engaged in a conversation, with one of them occasionally gesturing with their hands.	The woman standing next to the table appears to be slightly annoyed or impatient, as indicated by her crossed arms and occasional frowning. The two people sitting at the table seem to be engaged in a serious conversation, with one of them occasionally smiling.	The woman standing next to the table seems to be observing the conversation between the two people sitting at the table. The two people sitting at the table are focused on their conversation and do not appear to be paying much attention to the woman standing next to them.
104	18	The man is sitting at the table and talking to the woman. He is holding a piece of paper in his hand, and he occasionally looks at it while speaking. The woman is also sitting at the table and listening to the man. She occasionally nods her head and responds to his questions.	Both the man and the woman appear to be calm and composed throughout the conversation. They do not show any strong emotions or facial expressions.	The man and the woman seem to have a friendly relationship. They are engaged in a conversation and appear to be comfortable with each other.
106	0	The man and woman are walking side by side, engaged in conversation. The woman is wearing high heels, and the man is wearing a jacket. They are both bundled up against the cold.	The woman is smiling and laughing as she talks to the man. The man seems to be enjoying the conversation as well. Both of them appear to be relaxed and comfortable in each other's company.	There is no interaction with others in this video. The focus is solely on the man and woman and their conversation.
106	1	The man and woman are standing close to each other, facing each other. They are engaged in a conversation, and the woman is smiling while the man is looking at her.	The woman appears to be happy and content, as evidenced by her smile. The man seems to be interested in what the woman is saying, as he is looking at her attentively.	The video does not provide any information about the interaction between the speakers and other people.
106	3	The man is standing in front of the woman, facing her while talking. He is using hand gestures to emphasize his points. The woman is listening attentively, nodding her head occasionally.	Both the man and the woman appear to be calm and composed throughout the conversation. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The video does not show any other people in the scene, so there is no interaction with others to describe.
106	5	The man and woman are standing face to face, with the man occasionally gesturing with his hands. The woman is listening attentively and occasionally nodding her head.	Both the man and woman appear calm and composed. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The man and woman seem to be engaged in a friendly conversation, with no visible signs of tension or hostility. They appear to be comfortable in each other's presence.
106	6	The man is standing in front of the woman, and both are engaged in a conversation. The woman is standing in the doorway, while the man is looking at her.	The woman appears to be angry and upset, as indicated by her facial expression and tone of voice. The man seems to be trying to calm her down and address her concerns.	The conversation between the man and the woman seems to be intense and focused on resolving a conflict. The woman is expressing her frustration and disappointment, while the man is attempting to understand her perspective and offer a solution.
106	7	The man and woman are standing close to each other, indicating a friendly or intimate relationship. The woman is wearing a black jacket and a black purse, while the man is wearing a blue shirt. They both seem to be actively participating in the conversation, with the woman occasionally touching her necklace.	Both the man and the woman appear to be relaxed and comfortable in each other's company. They are smiling and making eye contact, suggesting a positive and friendly interaction.	There are no other people visible in the scene, so there is no interaction with others to describe.
107	0	The man in the sweater and tie is seen gesturing with his hands while speaking, while the man in the hoodie is looking at him and occasionally nodding his head.	The man in the sweater and tie appears to be animatedly explaining something, while the man in the hoodie seems to be listening attentively. Both men maintain a serious expression throughout the conversation.	The two men seem to have a friendly relationship, as they engage in a casual conversation. The man in the hoodie occasionally interjects with comments or questions.
107	1	The man in the suit and tie is holding a drink and talking to the man in the hoodie. The man in the hoodie is listening attentively and occasionally nodding his head. The woman is standing in the background, occasionally joining in the conversation.	Both men appear relaxed and friendly, with occasional smiles and laughter. The woman seems more reserved and serious.	The three individuals seem to have a friendly and casual relationship, with occasional moments of serious conversation. The man in the suit and tie appears to be the more dominant speaker, while the man in the hoodie and the woman listen and occasionally contribute to the conversation.
107	2	The woman is sitting on the couch, holding a cup of coffee, and talking to the man who is standing next to her. She occasionally takes sips from her cup, and the man is nodding his head and smiling as she speaks.	The woman appears relaxed and comfortable, with a warm smile on her face. The man seems happy and engaged in the conversation, with a slight smile and attentive posture.	The woman and the man seem to have a friendly and casual relationship, as they are chatting and laughing together. They are facing each other and maintaining eye contact throughout the conversation.
107	3	The woman is holding a cup of coffee and gesturing with her hands as she speaks. The man is sitting at the table, listening attentively and occasionally nodding his head.	The woman appears to be relaxed and friendly, with a warm smile on her face. The man seems calm and composed, with a neutral expression.	The woman and man are engaged in a friendly conversation, exchanging ideas and opinions. They seem to be enjoying each other's company and are comfortable in each other's presence.
107	4	The standing man is talking to the camera, while the sitting man is listening and occasionally nodding his head. At one point, the standing man looks directly at the camera with a smile on his face.	Both men appear to be calm and relaxed throughout the video. The standing man is smiling and seems to be enjoying the conversation, while the sitting man maintains a neutral expression.	The two men seem to be engaged in a friendly conversation, with no visible signs of tension or conflict. They appear to be comfortable in each other's presence and are enjoying each other's company.
109	1	The man in the grey suit and red tie is talking to the other people in the scene. He is standing upright and gesturing with his hands to emphasize his points.	The man appears to be confident and assertive, with a serious expression on his face. The other people in the scene are attentive and engaged in the conversation.	The man is leading the conversation and the other people are listening and responding to his questions. There is a sense of collaboration and teamwork in the scene.
109	2	The man is standing in front of the woman and is holding a cup. He seems to be making a toast and raising his cup. The woman is sitting at the table and is also holding a cup. She appears to be listening to the man and occasionally takes sips from her cup.	Both the man and the woman are smiling throughout the video, indicating a positive and friendly atmosphere. The man's smile is more pronounced and seems to be directed at the woman.	The man and the woman appear to be engaged in a friendly conversation. They are facing each other and occasionally make eye contact. There is no visible tension or conflict between them.
109	4	The man is standing in front of the woman, and both are facing each other. The woman is smiling and nodding her head while the man is speaking. The man seems to be explaining something to the woman, and she is listening attentively.	The woman's facial expression shows that she is happy and enjoying the conversation. The man's expression is serious, indicating that he is focused on conveying his message.	The video does not show any other people in the scene, so there is no interaction with others.
